FA1,GGBS,SF,MK,FA2,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
364.225,152.987,66.794,0.0,428.895,992.305,10.708,64.426,163.053,0.0,0.0,0.0,0.0,0.0,13.359,24.642,26.843
715.083,170.731,77.368,0.0,788.623,0.0,13.195,124.12,280.429,0.0,1.44,0.988,8.57,136.756,0.0,35.004,15.009
394.357,110.569,52.683,4.87,414.902,1155.88,12.527,35.882,138.269,0.0,-0.0,0.0,0.0,0.0,11.391,26.815,19.273
430.707,106.459,34.129,0.0,455.427,1045.91,12.89,39.494,118.335,1.585,0.0,0.0,0.0,0.0,9.367,25.293,19.515
297.837,163.774,30.118,41.14,785.415,880.81,13.434,58.946,145.746,29.27,0.208,0.111,1.434,39.404,21.198,27.989,38.732
411.639,156.468,28.66,0.0,897.95,524.007,12.034,67.549,169.859,4.758,0.432,0.081,1.243,36.057,12.91,25.824,34.621
464.889,1024.805,255.385,0.0,358.96,149.542,11.481,74.002,277.517,30.111,2.86,0.656,25.95,320.097,0.0,51.794,117.375
396.271,177.561,64.503,0.0,598.942,724.959,11.283,89.298,189.014,0.0,0.279,0.051,0.709,50.076,0.0,29.501,26.723
401.381,356.878,75.044,0.0,484.813,851.637,14.18,41.908,151.729,20.26,1.046,0.52,11.276,131.962,0.193,45.239,52.487
524.52,335.491,103.086,0.0,604.352,409.44,13.673,88.531,242.419,22.02,1.156,0.222,9.409,152.908,0.0,46.707,34.175
554.756,1067.054,284.282,0.0,334.719,0.0,14.079,69.891,370.285,12.605,3.812,1.925,31.204,413.484,0.0,66.082,117.568
399.173,180.856,27.359,0.0,912.552,555.621,13.315,68.412,170.513,16.334,0.393,0.109,3.032,34.605,15.955,27.645,42.104
469.194,143.061,53.916,0.0,683.733,630.339,12.001,72.093,180.663,3.626,0.597,0.16,4.731,52.561,18.368,25.977,40.939
