FA,GGBS,SF,MK,FA.1,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
324.241,115.373,0.0,20.067,659.376,1299.163,10.544,73.026,141.434,0.0,0.0,0.0,0.251,0.0,56.571,22.428,39.879
803.577,667.575,118.477,24.083,58.598,787.055,11.652,258.439,460.446,98.611,1.493,0.073,37.835,247.786,34.376,20.085,124.297
479.303,56.867,0.0,10.164,521.875,1190.376,13.286,79.073,150.132,5.104,0.042,0.0,1.232,0.0,49.378,24.215,37.057
862.149,539.957,146.203,0.0,153.929,651.712,9.335,256.767,425.343,120.565,0.953,0.401,19.327,103.535,36.674,19.414,80.257
471.547,129.578,0.0,0.0,1085.294,375.822,14.062,101.758,252.357,0.0,0.48,0.119,2.184,0.0,21.533,22.986,38.448
379.76,527.222,24.966,15.094,586.274,210.032,12.469,169.817,337.827,33.847,1.357,0.019,15.542,109.053,15.437,21.354,94.693
187.404,195.458,15.956,154.225,561.859,759.403,13.43,133.589,199.114,14.436,0.0,0.0,0.0,0.0,29.408,17.508,45.42
326.31,118.308,0.0,0.0,633.557,1085.717,12.524,79.021,149.476,0.0,0.003,0.0,0.0,0.0,0.0,22.419,31.7
100.72,1014.054,26.922,18.901,999.057,0.0,14.284,171.916,363.208,34.765,1.014,0.0,0.279,16.545,50.165,25.148,133.743
505.455,62.993,0.0,0.0,985.533,571.201,13.765,84.54,186.832,0.0,0.107,0.0,1.294,0.0,0.0,24.337,27.46
431.378,343.332,13.526,47.095,824.761,469.406,15.905,94.875,216.386,124.135,0.102,0.0,0.0,0.0,91.916,24.921,65.116
442.092,102.825,0.0,68.172,429.992,868.553,14.534,114.321,166.81,39.167,0.0,0.143,0.0,0.0,0.0,22.711,29.16
481.244,422.302,25.724,79.721,667.815,774.776,10.665,164.911,304.487,23.376,0.159,0.139,13.355,71.304,22.856,18.032,70.036
863.475,739.105,130.103,0.0,0.0,272.846,9.178,320.18,521.699,25.002,1.728,0.782,24.566,94.894,31.614,17.312,124.369
220.461,248.24,0.0,10.438,633.285,1275.922,10.318,85.236,157.029,1.206,0.0,0.0,0.0,0.0,72.796,22.891,52.126
418.548,160.998,10.305,18.558,813.844,806.218,11.709,72.505,148.273,75.783,0.055,0.033,2.383,0.0,30.965,24.323,40.779
